id,airline_name,date,type_traveller,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,ground_service_rating,wifi_connectivity_rating,value_money_rating,recommended
1,adria-airways,10-04-15,Solo Leisure,Economy,7,4,4,4,0,2,2,4,1
2,adria-airways,05-01-15,Solo Leisure,Business Class,10,4,5,4,1,2,2,5,1
3,adria-airways,14-09-14,Solo Leisure,Economy,9,5,5,4,0,2,2,5,1
4,adria-airways,06-09-14,Solo Leisure,Business Class,8,4,4,3,1,2,2,4,1
5,adria-airways,16-06-14,Solo Leisure,Economy,4,4,2,1,2,2,2,2,0
6,adria-airways,08-06-14,Solo Leisure,Economy,9,4,4,3,3,2,2,4,1
7,adria-airways,01-06-14,Solo Leisure,Economy,5,4,4,1,0,2,2,3,1
8,adria-airways,10-05-14,Solo Leisure,Economy,9,5,5,4,3,2,2,4,1
9,adria-airways,13-01-14,Solo Leisure,Business Class,8,4,3,4,1,2,2,4,1
10,adria-airways,06-01-14,Solo Leisure,Economy,10,5,5,4,4,2,2,4,1
11,adria-airways,22-10-13,Solo Leisure,Economy,9,4,4,4,4,2,2,4,1
12,adria-airways,28-08-13,Solo Leisure,Economy,7,4,5,3,3,2,2,5,1
13,adria-airways,19-08-13,Solo Leisure,Economy,8,4,4,4,0,2,2,4,1
14,adria-airways,19-08-13,Solo Leisure,Business Class,7,3,3,4,1,2,2,4,1
15,adria-airways,10-06-13,Solo Leisure,Business Class,7,2,5,4,0,2,2,4,1
16,adria-airways,27-05-13,Solo Leisure,Economy,5,4,4,1,0,2,2,4,1
17,adria-airways,08-10-12,Solo Leisure,Economy,9,4,5,4,0,2,2,2,1
18,adria-airways,04-07-12,Solo Leisure,Economy,5,3,3,2,2,2,2,4,1
19,adria-airways,17-06-12,Solo Leisure,Economy,5,3,3,2,2,2,2,4,1
20,adria-airways,12-06-12,Solo Leisure,Economy,8,3,3,2,2,2,2,1,1
21,adria-airways,16-02-12,Solo Leisure,Economy,9,3,3,2,2,2,2,4,1
22,adria-airways,17-01-12,Solo Leisure,Economy,5,3,3,2,2,2,2,1,0
23,adria-airways,20-09-11,Solo Leisure,Economy,9,3,3,2,2,2,2,4,1
24,adria-airways,13-09-11,Solo Leisure,Business Class,9,3,3,2,2,2,2,4,1
25,adria-airways,13-09-11,Solo Leisure,Business Class,10,3,3,2,2,2,2,4,1
26,adria-airways,19-01-11,Solo Leisure,Economy,7,3,3,2,2,2,2,1,1
27,adria-airways,07-01-11,Solo Leisure,Economy,5,3,3,2,2,2,2,1,0
28,adria-airways,10-10-10,Solo Leisure,Economy,5,3,3,2,2,2,2,1,0
29,adria-airways,25-11-09,Solo Leisure,Economy,6,3,3,2,2,2,2,1,1
